query,actual col,T0.6 selected col,T0.6 # correct,T0.6 recall,T0.6 precision,T0.6 F1,T0.4 selected col,T0.4 # correct,T0.4 recall,T0.4 precision,T0.4 F1,T0.2 selected col,T0.2 # correct,T0.2 recall,T0.2 precision,T0.2 F1
What are the average score and average staff number of all shops?,"['num_of_staff', 'score']","['num_of_staff', 'score']",2,1.0,1.0,1.0,"['address', 'open_year', 'num_of_staff', 'score']",2,1.0,0.5,0.66,"['num_of_staff', 'num_of_staff_in_charge', 'shop_id', 'address', 'score', 'time_of_purchase', 'level_of_membership', 'open_year', 'total_amount']",2,1.0,0.22,0.36
What are the three most costly procedures?,"['cost', 'name']",[],0,0.0,,,[],0,0.0,,,[],0,0.0,,
"What are the official names of cities, ordered descending by population?","['official_name', 'population']",['official_name'],1,0.5,1.0,0.66,"['population', 'official_name', 'city_id', 'status', 'census_ranking']",2,1.0,0.4,0.58,"['population', 'official_name', 'city_id', 'status', 'area_km_2', 'census_ranking']",2,1.0,0.33,0.5
Return the hosts of competitions for which the theme is not Aliens?,"['theme', 'hosts']","['theme', 'hosts']",2,1.0,1.0,1.0,"['competition_id', 'theme', 'hosts']",2,1.0,0.67,0.8,"['competition_id', 'host_city_id', 'farm_id', 'theme', 'year', 'hosts']",2,1.0,0.33,0.5
what is the name and position of the head whose department has least number of employees?,"['name', 'employeeid', 'head', 'departmentid', 'position']","['department', 'name', 'position']",2,0.4,0.67,0.5,"['department', 'name', 'position']",2,0.4,0.67,0.5,"['department', 'name', 'position']",2,0.4,0.67,0.5
What are the official names of cities that have hosted more than one competition?,"['host_city_id', 'city_id', 'official_name']",['hosts'],0,0.0,0.0,,"['competition_id', 'host_city_id', 'theme', 'year', 'hosts']",1,0.33,0.2,0.24,"['competition_id', 'host_city_id', 'rank', 'farm_id', 'theme', 'year', 'hosts']",1,0.33,0.14,0.2
Find the name of physicians who are affiliated with both Surgery and Psychiatry departments.,"['name', 'employeeid', 'departmentid']","['physician', 'name']",1,0.33,0.5,0.4,"['physician', 'name']",1,0.33,0.5,0.4,"['physician', 'name']",1,0.33,0.5,0.4
List the names of all distinct nurses ordered by alphabetical order?,['name'],"['nurse', 'name']",1,1.0,0.5,0.66,"['nurse', 'name']",1,1.0,0.5,0.66,"['nurse', 'name']",1,1.0,0.5,0.66
Find the names of patients who are not using the medication of Procrastin-X.,"['name', 'ssn', 'code']","['medication', 'patient', 'name']",1,0.33,0.33,0.34,"['medication', 'patient', 'name']",1,0.33,0.33,0.34,"['medication', 'patient', 'name']",1,0.33,0.33,0.34
Find the number of distinct room types available.,['roomtype'],['room'],0,0.0,0.0,,['room'],0,0.0,0.0,,['room'],0,0.0,0.0,
Which patient is undergoing the most recent treatment?,"['patient', 'dateundergoes']",['patient'],1,0.5,1.0,0.66,['patient'],1,0.5,1.0,0.66,['patient'],1,0.5,1.0,0.66
Find the number of medications prescribed for each brand.,"['brand', 'name', 'code']",['medication'],0,0.0,0.0,,['medication'],0,0.0,0.0,,['medication'],0,0.0,0.0,
Find the names of all patients who have an undergoing treatment and are staying in room 111.,"['room', 'name', 'stayid', 'ssn']","['room', 'treatment', 'patient', 'name']",2,0.5,0.5,0.5,"['room', 'treatment', 'patient', 'name']",2,0.5,0.5,0.5,"['room', 'treatment', 'patient', 'name']",2,0.5,0.5,0.5
What are the names of musicals who have no actors?,"['musical_id', 'name']",['name'],1,0.5,1.0,0.66,"['musical_id', 'name', 'character', 'age', 'duration']",2,1.0,0.4,0.58,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",2,1.0,0.33,0.5
Find the official names of cities with population bigger than 1500 or smaller than 500.,"['official_name', 'population']",['population'],1,0.5,1.0,0.66,"['population', 'official_name', 'status']",2,1.0,0.67,0.8,"['population', 'official_name', 'city_id', 'status', 'area_km_2', 'census_ranking']",2,1.0,0.33,0.5
What are the names of actors who are not 20 years old?,"['age', 'name']","['age', 'name']",2,1.0,1.0,1.0,"['age', 'musical_id', 'actor_id', 'name']",2,1.0,0.5,0.66,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",2,1.0,0.33,0.5
What are the names of all the physicians who took appointments.,"['employeeid', 'name']","['physician', 'name']",1,0.5,0.5,0.5,"['physician', 'name']",1,0.5,0.5,0.5,"['physician', 'name']",1,0.5,0.5,0.5
What is the most common status across all cities?,['status'],['status'],1,1.0,1.0,1.0,"['population', 'city_id', 'official_name', 'status']",1,1.0,0.25,0.4,"['population', 'official_name', 'city_id', 'status', 'area_km_2', 'census_ranking']",1,1.0,0.17,0.3
Return the names of musicals who have the nominee Bob Fosse.,"['nominee', 'name']","['nominee', 'name']",2,1.0,1.0,1.0,"['nominee', 'name', 'result', 'year', 'award']",2,1.0,0.4,0.58,"['nominee', 'musical_id', 'name', 'result', 'year', 'category', 'award']",2,1.0,0.29,0.44
Show names of actors that have appeared in musical with name 'The Phantom of the Opera'.,"['musical_id', 'name']",['name'],1,0.5,1.0,0.66,"['musical_id', 'duration', 'name', 'character']",2,1.0,0.5,0.66,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",2,1.0,0.33,0.5
Find the address and staff number of the shops that do not have any happy hour.,"['address', 'shop_id', 'num_of_staff']","['shop_id', 'address']",2,0.67,1.0,0.8,"['num_of_staff', 'month', 'num_of_staff_in_charge', 'address', 'shop_id', 'open_year', 'hh_id']",3,1.0,0.43,0.6,"['num_of_staff', 'month', 'num_of_staff_in_charge', 'shop_id', 'address', 'member_id', 'score', 'time_of_purchase', 'open_year', 'hh_id', 'total_amount']",3,1.0,0.27,0.42
"Among the procedures that cost more than 1000, which were not specialized in by physician John Wen?","['name', 'employeeid', 'cost', 'treatment', 'code']","['cost', 'physician']",1,0.2,0.5,0.28,"['cost', 'physician']",1,0.2,0.5,0.28,"['cost', 'physician']",1,0.2,0.5,0.28
Find the patient who most recently stayed in room 111.,"['staystart', 'patient', 'room']","['patient', 'room']",2,0.67,1.0,0.8,"['patient', 'room']",2,0.67,1.0,0.8,"['patient', 'room']",2,0.67,1.0,0.8
Which address has both members younger than 30 and members older than 40?,"['address', 'age']","['age', 'address']",2,1.0,1.0,1.0,"['age', 'address', 'name']",2,1.0,0.67,0.8,"['address', 'member_id', 'name', 'age', 'level_of_membership', 'membership_card']",2,1.0,0.33,0.5
How many patients do each physician take care of? List their names and number of patients they take care of.,"['name', 'employeeid', 'pcp']","['patient', 'physician', 'name']",1,0.33,0.33,0.34,"['patient', 'physician', 'name']",1,0.33,0.33,0.34,"['patient', 'physician', 'name']",1,0.33,0.33,0.34
"Please show the different statuses, ordered by the number of cities that have each.",['status'],['status'],1,1.0,1.0,1.0,"['population', 'official_name', 'city_id', 'status', 'area_km_2', 'census_ranking']",1,1.0,0.17,0.3,"['population', 'official_name', 'city_id', 'status', 'area_km_2', 'census_ranking']",1,1.0,0.17,0.3
Who are the nominees who have been nominated more than two times?,['nominee'],['nominee'],1,1.0,1.0,1.0,"['category', 'result', 'nominee']",1,1.0,0.33,0.5,"['category', 'result', 'nominee', 'award']",1,1.0,0.25,0.4
Find the id of the appointment with the most recent start date?,"['start', 'appointmentid']","['start', 'appointment']",1,0.5,0.5,0.5,"['start', 'appointment']",1,0.5,0.5,0.5,"['start', 'appointment']",1,0.5,0.5,0.5
Show the headquarters that have both companies in banking industry and companies in oil and gas industry.,"['industry', 'headquarters']","['industry', 'headquarters']",2,1.0,1.0,1.0,"['industry', 'headquarters', 'name']",2,1.0,0.67,0.8,"['industry', 'sales_in_billion', 'market_value_in_billion', 'headquarters', 'profits_in_billion', 'name', 'company_id']",2,1.0,0.29,0.44
Find the id and address of the shops whose score is below the average score.,"['shop_id', 'address', 'score']","['address', 'score']",2,0.67,1.0,0.8,"['address', 'score']",2,0.67,1.0,0.8,"['num_of_staff', 'shop_id', 'address', 'score', 'time_of_purchase', 'open_year']",3,1.0,0.5,0.66
How many different statuses do cities have?,['status'],['status'],1,1.0,1.0,1.0,"['population', 'official_name', 'city_id', 'status', 'area_km_2']",1,1.0,0.2,0.34,"['population', 'official_name', 'city_id', 'status', 'area_km_2', 'census_ranking']",1,1.0,0.17,0.3
Find the locations that have more than one movie theater with capacity above 300.,"['location', 'capacity']","['location', 'capacity']",2,1.0,1.0,1.0,"['name', 'cinema_id', 'capacity', 'openning_year', 'location']",2,1.0,0.4,0.58,"['show_times_per_day', 'name', 'cinema_id', 'capacity', 'price', 'film_id', 'openning_year', 'location']",2,1.0,0.25,0.4
Show director with the largest number of show times in total.,"['film_id', 'show_times_per_day', 'directed_by']",[],0,0.0,,,"['number_in_season', 'rank_in_series']",0,0.0,0.0,,"['rank_in_series', 'directed_by', 'number_in_season', 'production_code', 'film_id']",2,0.67,0.4,0.5
Give the years and official names of the cities of each competition.,"['host_city_id', 'city_id', 'official_name', 'year']",['year'],1,0.25,1.0,0.4,"['competition_id', 'farm_id', 'theme', 'year', 'hosts']",1,0.25,0.2,0.22,"['competition_id', 'host_city_id', 'rank', 'farm_id', 'theme', 'year', 'hosts']",2,0.5,0.29,0.36
List the names of people that are not employed by any company,"['people_id', 'name']",['name'],1,0.5,1.0,0.66,['name'],1,0.5,1.0,0.66,['name'],1,0.5,1.0,0.66
Show the names of companies in the banking or retailing industry?,"['industry', 'name']",['name'],1,0.5,1.0,0.66,"['company_id', 'industry', 'name']",2,1.0,0.67,0.8,"['industry', 'sales_in_billion', 'market_value_in_billion', 'headquarters', 'profits_in_billion', 'assets_in_billion', 'name', 'company_id']",2,1.0,0.25,0.4
What is the name of the patient who made the most recent appointment?,"['start', 'name', 'ssn']","['patient', 'name']",1,0.33,0.5,0.4,"['patient', 'name']",1,0.33,0.5,0.4,"['patient', 'name']",1,0.33,0.5,0.4
what are name and phone number of patients who had more than one appointment?,"['phone', 'name', 'ssn']","['patient', 'name', 'phone']",2,0.67,0.67,0.68,"['patient', 'name', 'phone']",2,0.67,0.67,0.68,"['patient', 'name', 'phone']",2,0.67,0.67,0.68
"List the names of all distinct medications, ordered in an alphabetical order.",['name'],['name'],1,1.0,1.0,1.0,['name'],1,1.0,1.0,1.0,['name'],1,1.0,1.0,1.0
What are the id and address of the shops which have a happy hour in May?,"['address', 'shop_id', 'month']","['address', 'shop_id']",2,0.67,1.0,0.8,"['month', 'num_of_staff_in_charge', 'shop_id', 'address', 'member_id', 'open_year', 'hh_id']",3,1.0,0.43,0.6,"['num_of_staff', 'month', 'num_of_staff_in_charge', 'shop_id', 'address', 'member_id', 'score', 'time_of_purchase', 'open_year', 'hh_id', 'total_amount']",3,1.0,0.27,0.42
Find the names of all procedures such that the cost is less than 5000 and physician John Wen was trained in.,"['name', 'employeeid', 'cost', 'treatment', 'code']","['cost', 'physician', 'name']",2,0.4,0.67,0.5,"['cost', 'physician', 'name']",2,0.4,0.67,0.5,"['cost', 'physician', 'name']",2,0.4,0.67,0.5
Show the status shared by cities with population bigger than 1500 and smaller than 500.,"['population', 'status']","['population', 'status']",2,1.0,1.0,1.0,"['population', 'status']",2,1.0,1.0,1.0,"['population', 'official_name', 'city_id', 'status', 'area_km_2', 'census_ranking']",2,1.0,0.33,0.5
What are the names of actors ordered descending by the year in which their musical was awarded?,"['musical_id', 'year', 'name']","['musical_id', 'duration', 'name']",2,0.67,0.67,0.68,"['musical_id', 'name', 'character', 'age', 'duration']",2,0.67,0.4,0.5,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",2,0.67,0.33,0.44
Please show the themes of competitions with host cities having populations larger than 1000.,"['host_city_id', 'city_id', 'theme', 'population']",['theme'],1,0.25,1.0,0.4,"['competition_id', 'host_city_id', 'farm_id', 'theme', 'year', 'hosts']",2,0.5,0.33,0.4,"['bulls', 'competition_id', 'host_city_id', 'rank', 'farm_id', 'theme', 'year', 'hosts']",2,0.5,0.25,0.34
Show the status of the city that has hosted the greatest number of competitions.,"['host_city_id', 'city_id', 'status']","['year', 'hosts']",0,0.0,0.0,,"['year', 'theme', 'competition_id', 'hosts']",0,0.0,0.0,,"['competition_id', 'host_city_id', 'rank', 'farm_id', 'theme', 'year', 'hosts']",1,0.33,0.14,0.2
Show the census ranking of cities whose status are not 'Village'.,"['census_ranking', 'status']","['census_ranking', 'status']",2,1.0,1.0,1.0,"['population', 'official_name', 'census_ranking', 'status']",2,1.0,0.5,0.66,"['population', 'official_name', 'city_id', 'status', 'area_km_2', 'census_ranking']",2,1.0,0.33,0.5
What are the unique block codes that have available rooms?,"['unavailable', 'blockcode']",['code'],0,0.0,0.0,,['code'],0,0.0,0.0,,['code'],0,0.0,0.0,
Give me the title and highest price for each film.,"['film_id', 'title', 'price']",['title'],1,0.33,1.0,0.5,"['rank_in_series', 'directed_by', 'number_in_season', 'production_code', 'film_id', 'title']",2,0.67,0.33,0.44,"['original_air_date', 'rank_in_series', 'directed_by', 'number_in_season', 'production_code', 'film_id', 'title']",2,0.67,0.29,0.4
Show different nominees and the number of musicals they have been nominated.,['nominee'],"['nominee', 'result']",1,1.0,0.5,0.66,"['nominee', 'musical_id', 'name', 'result', 'year', 'category', 'award']",1,1.0,0.14,0.24,"['nominee', 'musical_id', 'name', 'result', 'year', 'category', 'award']",1,1.0,0.14,0.24
What are the name and location of the cinema with the largest capacity?,"['location', 'capacity', 'name']","['location', 'capacity', 'cinema_id', 'name']",3,1.0,0.75,0.86,"['name', 'cinema_id', 'capacity', 'film_id', 'openning_year', 'location']",3,1.0,0.5,0.66,"['show_times_per_day', 'name', 'cinema_id', 'capacity', 'film_id', 'openning_year', 'location']",3,1.0,0.43,0.6
Which physicians are in charge of more than one patient? Give me their names.,"['name', 'employeeid', 'pcp']",['physician'],0,0.0,0.0,,['physician'],0,0.0,0.0,,['physician'],0,0.0,0.0,
Show all directors.,['directed_by'],[],0,0.0,,,['directed_by'],1,1.0,1.0,1.0,"['original_air_date', 'rank_in_series', 'directed_by', 'number_in_season', 'production_code', 'film_id', 'title']",1,1.0,0.14,0.24
Show the most common headquarter for companies.,['headquarters'],[],0,0.0,,,"['company_id', 'industry', 'headquarters', 'name']",1,1.0,0.25,0.4,"['industry', 'sales_in_billion', 'market_value_in_billion', 'headquarters', 'profits_in_billion', 'assets_in_billion', 'name', 'company_id']",1,1.0,0.12,0.22
Show names of actors in descending order of the year their musical is awarded.,"['musical_id', 'year', 'name']","['musical_id', 'name']",2,0.67,1.0,0.8,"['musical_id', 'name', 'character', 'age', 'duration']",2,0.67,0.4,0.5,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",2,0.67,0.33,0.44
Show all the locations with at least two cinemas with capacity above 300.,"['location', 'capacity']","['location', 'capacity']",2,1.0,1.0,1.0,"['show_times_per_day', 'name', 'cinema_id', 'capacity', 'openning_year', 'location']",2,1.0,0.33,0.5,"['show_times_per_day', 'name', 'cinema_id', 'capacity', 'price', 'film_id', 'openning_year', 'location']",2,1.0,0.25,0.4
What are the names of musicals with nominee 'Bob Fosse'?,"['nominee', 'name']","['nominee', 'name']",2,1.0,1.0,1.0,"['nominee', 'name', 'result', 'year', 'award']",2,1.0,0.4,0.58,"['nominee', 'musical_id', 'name', 'result', 'year', 'category', 'award']",2,1.0,0.29,0.44
Which locations have 2 or more cinemas with capacity over 300?,"['location', 'capacity']","['location', 'capacity']",2,1.0,1.0,1.0,"['show_times_per_day', 'name', 'cinema_id', 'capacity', 'openning_year', 'location']",2,1.0,0.33,0.5,"['show_times_per_day', 'name', 'cinema_id', 'capacity', 'price', 'film_id', 'openning_year', 'location']",2,1.0,0.25,0.4
Find the number of employees of each gender whose salary is lower than 50000.,"['salary', 'sex']",['salary'],1,0.5,1.0,0.66,"['salary', 'sex']",2,1.0,1.0,1.0,"['sex', 'bdate', 'lname', 'address', 'fname', 'salary', 'dno', 'minit', 'super_ssn']",2,1.0,0.22,0.36
Return the maximum and minimum number of cows across all farms.,['cows'],"['sheep_and_goats', 'bulls', 'cows', 'total_cattle']",1,1.0,0.25,0.4,"['total_horses', 'bulls', 'cows', 'total_cattle', 'working_horses', 'oxen', 'farm_id', 'rank', 'year', 'sheep_and_goats', 'pigs']",1,1.0,0.09,0.16,"['total_horses', 'bulls', 'cows', 'total_cattle', 'working_horses', 'oxen', 'farm_id', 'rank', 'year', 'sheep_and_goats', 'pigs']",1,1.0,0.09,0.16
List the names of departments where some physicians are primarily affiliated with.,"['departmentid', 'primaryaffiliation', 'name']",['name'],1,0.33,1.0,0.5,"['dname', 'name']",1,0.33,0.5,0.4,"['dname', 'mgr_start_date', 'name', 'dnumber']",1,0.33,0.25,0.28
Show all the locations where some cinemas were opened in both year 2010 and year 2011.,"['openning_year', 'location']",['location'],1,0.5,1.0,0.66,"['openning_year', 'location', 'cinema_id', 'name']",2,1.0,0.5,0.66,"['show_times_per_day', 'name', 'date', 'cinema_id', 'capacity', 'film_id', 'openning_year', 'location']",2,1.0,0.25,0.4
What are the maximum and minimum number of cows across all farms.,['cows'],"['sheep_and_goats', 'bulls', 'cows', 'total_cattle']",1,1.0,0.25,0.4,"['total_horses', 'bulls', 'cows', 'oxen', 'total_cattle', 'working_horses', 'year', 'sheep_and_goats', 'pigs']",1,1.0,0.11,0.2,"['total_horses', 'bulls', 'cows', 'total_cattle', 'working_horses', 'oxen', 'farm_id', 'rank', 'year', 'sheep_and_goats', 'pigs']",1,1.0,0.09,0.16
What is the membership card held by both members living in Hartford and ones living in Waterbury address?,"['address', 'membership_card']",[],0,0.0,,,"['address', 'membership_card']",2,1.0,1.0,1.0,"['num_of_staff_in_charge', 'address', 'member_id', 'name', 'age', 'level_of_membership', 'membership_card', 'hh_id', 'total_amount']",2,1.0,0.22,0.36
What are all the locations with a cinema?,['location'],"['location', 'cinema_id', 'name']",1,1.0,0.33,0.5,"['name', 'cinema_id', 'capacity', 'film_id', 'openning_year', 'location']",1,1.0,0.17,0.3,"['show_times_per_day', 'name', 'cinema_id', 'capacity', 'film_id', 'openning_year', 'location']",1,1.0,0.14,0.24
"Find the purchase time, age and address of each member, and show the results in the order of purchase time.","['age', 'time_of_purchase', 'address']","['address', 'age']",2,0.67,1.0,0.8,"['age', 'time_of_purchase', 'address']",3,1.0,1.0,1.0,"['num_of_staff', 'num_of_staff_in_charge', 'shop_id', 'address', 'member_id', 'name', 'score', 'age', 'time_of_purchase', 'membership_card', 'level_of_membership', 'open_year', 'total_amount']",3,1.0,0.23,0.38
Find the names of nurses who are nursing an undergoing treatment.,"['employeeid', 'assistingnurse', 'name']","['nurse', 'name']",1,0.33,0.5,0.4,"['nurse', 'name']",1,0.33,0.5,0.4,"['nurse', 'name']",1,0.33,0.5,0.4
Give the average number of working horses on farms with more than 5000 total horses.,"['total_horses', 'working_horses']","['total_cattle', 'total_horses', 'working_horses']",2,1.0,0.67,0.8,"['total_horses', 'bulls', 'cows', 'oxen', 'total_cattle', 'working_horses', 'farm_id', 'rank', 'sheep_and_goats', 'pigs']",2,1.0,0.2,0.34,"['total_horses', 'bulls', 'cows', 'total_cattle', 'working_horses', 'oxen', 'farm_id', 'rank', 'year', 'sheep_and_goats', 'pigs']",2,1.0,0.18,0.3
List official names of cities in descending order of population.,"['official_name', 'population']",['official_name'],1,0.5,1.0,0.66,"['population', 'official_name', 'city_id', 'status', 'census_ranking']",2,1.0,0.4,0.58,"['population', 'official_name', 'city_id', 'status', 'area_km_2', 'census_ranking']",2,1.0,0.33,0.5
"list the first and last names, and the addresses of all employees in the ascending order of their birth date.","['address', 'fname', 'bdate', 'lname']","['address', 'fname', 'bdate', 'lname']",4,1.0,1.0,1.0,"['sex', 'bdate', 'lname', 'address', 'fname', 'ssn', 'dno', 'minit', 'super_ssn']",4,1.0,0.44,0.62,"['sex', 'bdate', 'lname', 'address', 'fname', 'salary', 'ssn', 'dno', 'minit', 'super_ssn']",4,1.0,0.4,0.58
Count the number of different statuses.,['status'],[],0,0.0,,,[],0,0.0,,,"['census_ranking', 'status']",1,1.0,0.5,0.66
List the total number of horses on farms in ascending order.,['total_horses'],"['total_cattle', 'total_horses', 'cows', 'working_horses']",1,1.0,0.25,0.4,"['total_horses', 'bulls', 'cows', 'oxen', 'total_cattle', 'working_horses', 'farm_id', 'rank', 'year', 'sheep_and_goats', 'pigs']",1,1.0,0.09,0.16,"['total_horses', 'bulls', 'cows', 'total_cattle', 'working_horses', 'oxen', 'farm_id', 'rank', 'year', 'sheep_and_goats', 'pigs']",1,1.0,0.09,0.16
List the names of all the physicians who prescribe Thesisin as medication.,"['name', 'employeeid', 'code']","['physician', 'name']",1,0.33,0.5,0.4,"['physician', 'name']",1,0.33,0.5,0.4,"['physician', 'name']",1,0.33,0.5,0.4
Show the musical nominee with award 'Bob Fosse' or 'Cleavant Derricks'.,"['nominee', 'award']","['nominee', 'award']",2,1.0,1.0,1.0,"['nominee', 'result', 'award']",2,1.0,0.67,0.8,"['nominee', 'musical_id', 'name', 'result', 'year', 'category', 'award']",2,1.0,0.29,0.44
How many patients stay in room 112?,"['patient', 'room']","['stay', 'patient', 'room']",2,1.0,0.67,0.8,"['stay', 'patient', 'room']",2,1.0,0.67,0.8,"['stay', 'patient', 'room']",2,1.0,0.67,0.8
What nurses are on call with block floor 1 and block code 1? Tell me their names.,"['nurse', 'blockfloor', 'blockcode']","['nurse', 'code']",1,0.33,0.5,0.4,"['nurse', 'code']",1,0.33,0.5,0.4,"['nurse', 'code']",1,0.33,0.5,0.4
What is the status of the city that has hosted the most competitions?,"['host_city_id', 'city_id', 'status']","['year', 'hosts']",0,0.0,0.0,,"['competition_id', 'host_city_id', 'theme', 'year', 'hosts']",1,0.33,0.2,0.24,"['competition_id', 'host_city_id', 'rank', 'farm_id', 'theme', 'year', 'hosts']",1,0.33,0.14,0.2
Find the names of procedures which physician John Wen was trained in.,"['name', 'employeeid', 'treatment', 'code']","['physician', 'name']",1,0.25,0.5,0.34,"['physician', 'name']",1,0.25,0.5,0.34,"['physician', 'name']",1,0.25,0.5,0.34
Show all the locations where no cinema has capacity over 800.,"['location', 'capacity']","['location', 'capacity']",2,1.0,1.0,1.0,"['show_times_per_day', 'name', 'cinema_id', 'capacity', 'openning_year', 'location']",2,1.0,0.33,0.5,"['show_times_per_day', 'name', 'cinema_id', 'capacity', 'price', 'film_id', 'openning_year', 'location']",2,1.0,0.25,0.4
List the most common result of the musicals.,['result'],['result'],1,1.0,1.0,1.0,"['nominee', 'musical_id', 'name', 'result', 'year', 'award']",1,1.0,0.17,0.3,"['nominee', 'musical_id', 'name', 'result', 'year', 'category', 'award']",1,1.0,0.14,0.24
Show names of musicals which have at least three actors.,"['musical_id', 'name']","['musical_id', 'name', 'character']",2,1.0,0.67,0.8,"['musical_id', 'name', 'character', 'actor_id', 'duration']",2,1.0,0.4,0.58,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",2,1.0,0.33,0.5
Find all procedures which cost more than 1000 or which physician John Wen was trained in.,"['name', 'employeeid', 'cost', 'treatment', 'code']","['cost', 'physician']",1,0.2,0.5,0.28,"['cost', 'physician']",1,0.2,0.5,0.28,"['cost', 'physician']",1,0.2,0.5,0.28
How many members are not living in Hartford?,['address'],[],0,0.0,,,[],0,0.0,,,"['num_of_staff_in_charge', 'address', 'name', 'age', 'level_of_membership']",1,1.0,0.2,0.34
What are the names of actors who have been in the musical titled The Phantom of the Opera?,"['musical_id', 'name']","['name', 'character']",1,0.5,0.5,0.5,"['musical_id', 'name', 'character', 'age', 'duration']",2,1.0,0.4,0.58,"['musical_id', 'name', 'character', 'age', 'actor_id', 'duration']",2,1.0,0.33,0.5
Show the nominees that have nominated musicals for both 'Tony Award' and 'Drama Desk Award'.,"['nominee', 'award']","['nominee', 'result']",1,0.5,0.5,0.5,"['nominee', 'name', 'result', 'year', 'category', 'award']",2,1.0,0.33,0.5,"['nominee', 'musical_id', 'name', 'result', 'year', 'category', 'award']",2,1.0,0.29,0.44
Return the most frequent result across all musicals.,['result'],['result'],1,1.0,1.0,1.0,"['nominee', 'musical_id', 'name', 'result', 'year', 'award']",1,1.0,0.17,0.3,"['nominee', 'musical_id', 'name', 'result', 'year', 'category', 'award']",1,1.0,0.14,0.24
Which physicians have never taken any appointment? Find their names.,"['employeeid', 'name']",['physician'],0,0.0,0.0,,['physician'],0,0.0,0.0,,['physician'],0,0.0,0.0,
Which patients made more than one appointment? Tell me the name and phone number of these patients.,"['phone', 'name', 'ssn']","['patient', 'name', 'phone']",2,0.67,0.67,0.68,"['patient', 'name', 'phone']",2,0.67,0.67,0.68,"['patient', 'name', 'phone']",2,0.67,0.67,0.68
What is the average number of working horses of farms with more than 5000 total number of horses?,"['total_horses', 'working_horses']","['total_cattle', 'total_horses', 'working_horses']",2,1.0,0.67,0.8,"['total_horses', 'bulls', 'cows', 'oxen', 'total_cattle', 'working_horses', 'farm_id', 'rank', 'year', 'sheep_and_goats', 'pigs']",2,1.0,0.18,0.3,"['total_horses', 'bulls', 'cows', 'total_cattle', 'working_horses', 'oxen', 'farm_id', 'rank', 'year', 'sheep_and_goats', 'pigs']",2,1.0,0.18,0.3
What are the procedures that cost more than 1000 or are specialized in by physician John Wen?,"['name', 'employeeid', 'cost', 'treatment', 'code']","['cost', 'physician']",1,0.2,0.5,0.28,"['cost', 'physician']",1,0.2,0.5,0.28,"['cost', 'physician']",1,0.2,0.5,0.28
which shop has happy hour most frequently? List its id and number of happy hours.,['shop_id'],"['shop_id', 'num_of_staff_in_charge']",1,1.0,0.5,0.66,"['month', 'num_of_staff_in_charge', 'address', 'shop_id', 'member_id', 'hh_id', 'total_amount']",1,1.0,0.14,0.24,"['num_of_staff', 'month', 'num_of_staff_in_charge', 'shop_id', 'address', 'member_id', 'score', 'time_of_purchase', 'open_year', 'hh_id', 'total_amount']",1,1.0,0.09,0.16
Which physicians are affiliated with both Surgery and Psychiatry departments? Tell me their names.,"['name', 'employeeid', 'departmentid']",['physician'],0,0.0,0.0,,['physician'],0,0.0,0.0,,['physician'],0,0.0,0.0,
How many films have the word 'Dummy' in their titles?,['title'],[],0,0.0,,,"['film_id', 'rank_in_series', 'directed_by', 'title']",1,1.0,0.25,0.4,"['original_air_date', 'rank_in_series', 'directed_by', 'number_in_season', 'production_code', 'film_id', 'title']",1,1.0,0.14,0.24
What is the alphabetically ordered list of all the distinct names of nurses?,['name'],['name'],1,1.0,1.0,1.0,['name'],1,1.0,1.0,1.0,['name'],1,1.0,1.0,1.0
Find the name of the nurse who has the largest number of appointments.,"['prepnurse', 'name', 'employeeid']","['nurse', 'name']",1,0.33,0.5,0.4,"['nurse', 'name']",1,0.33,0.5,0.4,"['nurse', 'name']",1,0.33,0.5,0.4
What is the maximum and minimum market value of companies?,['market_value_in_billion'],['market_value_in_billion'],1,1.0,1.0,1.0,"['industry', 'market_value_in_billion']",1,1.0,0.5,0.66,"['industry', 'sales_in_billion', 'market_value_in_billion', 'headquarters', 'profits_in_billion', 'assets_in_billion', 'name', 'company_id']",1,1.0,0.12,0.22
Show the years and the official names of the host cities of competitions.,"['host_city_id', 'city_id', 'official_name', 'year']","['year', 'hosts']",1,0.25,0.5,0.34,"['competition_id', 'host_city_id', 'farm_id', 'theme', 'year', 'hosts']",2,0.5,0.33,0.4,"['competition_id', 'host_city_id', 'rank', 'farm_id', 'theme', 'year', 'hosts']",2,0.5,0.29,0.36
List all directors along with the number of films directed by each director.,['directed_by'],[],0,0.0,,,"['number_in_season', 'rank_in_series', 'directed_by', 'production_code']",1,1.0,0.25,0.4,"['rank_in_series', 'directed_by', 'number_in_season', 'production_code', 'film_id', 'title']",1,1.0,0.17,0.3
In which locations are there more than one movie theater with capacity above 300?,"['location', 'capacity']","['location', 'capacity']",2,1.0,1.0,1.0,"['name', 'cinema_id', 'capacity', 'openning_year', 'location']",2,1.0,0.4,0.58,"['show_times_per_day', 'name', 'cinema_id', 'capacity', 'price', 'film_id', 'openning_year', 'location']",2,1.0,0.25,0.4
