query,actual col,# actual col,T0.6 selected col,T0.6 # correct,T0.6 recall,T0.6 precision,T0.6 F1,T0.4 selected col,T0.4 # correct,T0.4 recall,T0.4 precision,T0.4 F1,T0.2 selected col,T0.2 # correct,T0.2 recall,T0.2 precision,T0.2 F1
What is the names of the physicians who prescribe medication Thesisin?,"['name', 'employeeid', 'code']",3,"['physician', 'name', 'medication']",1,0.33,0.33,0.34,"['physician', 'name', 'brand', 'appointment', 'treatment', 'dose', 'position', 'prepnurse', 'medication', 'description', 'pcp', 'date', 'code', 'patient']",2,0.67,0.14,0.24,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'blockfloor', 'room', 'employeeid', 'assistingnurse', 'start', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'blockcode', 'medication', 'address']",3,1.0,0.1,0.18
What is the average cost of procedures that physician John Wen was trained in?,"['name', 'treatment', 'employeeid', 'cost', 'code']",5,"['cost', 'physician']",1,0.2,0.5,0.28,"['physician', 'cost', 'name']",2,0.4,0.67,0.5,"['name', 'position', 'procedures', 'prepnurse', 'pcp', 'date', 'physician', 'appointment', 'insuranceid', 'phone', 'employeeid', 'assistingnurse', 'cost', 'patient', 'ssn', 'treatment', 'dose', 'dateundergoes', 'address']",4,0.8,0.21,0.34
Return the name of each physician and the number of patients he or she treats.,"['name', 'employeeid', 'pcp']",3,"['physician', 'name', 'patient']",1,0.33,0.33,0.34,"['physician', 'name', 'ssn', 'appointment', 'employeeid', 'position', 'insuranceid', 'stayid', 'pcp', 'phone', 'nurse', 'address', 'patient']",3,1.0,0.23,0.38,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'blockfloor', 'room', 'employeeid', 'department', 'assistingnurse', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'blockcode', 'medication', 'address', 'appointmentid']",3,1.0,0.09,0.16
Which physicians are trained in procedures that are more expensive than 5000?,"['name', 'treatment', 'employeeid', 'cost', 'code']",5,['physician'],0,0.0,0.0,ZeroDivisionError,"['physician', 'name', 'treatment', 'position', 'pcp', 'cost']",3,0.6,0.5,0.54,"['name', 'position', 'procedures', 'prepnurse', 'pcp', 'date', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'employeeid', 'assistingnurse', 'cost', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'medication', 'address']",4,0.8,0.17,0.28
Which statuses correspond to both cities that have a population over 1500 and cities that have a population lower than 500?,"['status', 'population']",2,"['status', 'population']",2,1.0,1.0,1.0,"['status', 'census_ranking', 'official_name', 'population']",2,1.0,0.5,0.66,"['status', 'census_ranking', 'official_name', 'area_km_2', 'city_id', 'population']",2,1.0,0.33,0.5
What are the names of the physician who prescribed the highest dose?,"['employeeid', 'name', 'dose']",3,"['physician', 'name', 'dose']",2,0.67,0.67,0.68,"['physician', 'name', 'brand', 'appointment', 'dose', 'position', 'medication', 'description', 'pcp', 'date', 'code', 'patient']",2,0.67,0.17,0.28,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'appointment', 'insuranceid', 'phone', 'code', 'employeeid', 'assistingnurse', 'patient', 'ssn', 'brand', 'treatment', 'dose', 'blockcode', 'medication', 'address']",3,1.0,0.12,0.22
Find the name of physicians whose position title contains the word 'senior'.,"['position', 'name']",2,"['physician', 'position', 'name']",2,1.0,0.67,0.8,"['physician', 'name', 'employeeid', 'position', 'insuranceid', 'pcp', 'address', 'patient']",2,1.0,0.25,0.4,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'blockfloor', 'room', 'employeeid', 'department', 'assistingnurse', 'start', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'medication', 'address', 'appointmentid']",2,1.0,0.06,0.12
What are the census rankings of cities that do not have the status 'Village'?,"['status', 'census_ranking']",2,"['status', 'census_ranking']",2,1.0,1.0,1.0,"['status', 'census_ranking', 'official_name', 'population']",2,1.0,0.5,0.66,"['status', 'census_ranking', 'official_name', 'area_km_2', 'city_id', 'population']",2,1.0,0.33,0.5
List the names of patients who have made appointments.,"['name', 'ssn']",2,"['physician', 'name', 'patient', 'appointment']",1,0.5,0.25,0.34,"['end', 'physician', 'name', 'examinationroom', 'appointment', 'employeeid', 'position', 'prepnurse', 'insuranceid', 'stayid', 'pcp', 'phone', 'assistingnurse', 'start', 'address', 'registered', 'patient', 'appointmentid']",1,0.5,0.06,0.1,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'blockfloor', 'room', 'employeeid', 'department', 'assistingnurse', 'cost', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'blockcode', 'medication', 'address', 'appointmentid']",2,1.0,0.06,0.12
What are the statuses and average populations of each city?,"['status', 'population']",2,"['status', 'population']",2,1.0,1.0,1.0,"['status', 'census_ranking', 'official_name', 'area_km_2', 'population']",2,1.0,0.4,0.58,"['status', 'census_ranking', 'official_name', 'area_km_2', 'city_id', 'population']",2,1.0,0.33,0.5
What are the names of patients who are not taking the medication of Procrastin-X.,"['name', 'ssn', 'code']",3,"['medication', 'name', 'patient']",1,0.33,0.33,0.34,"['patient', 'medication', 'name', 'brand']",1,0.33,0.25,0.28,"['name', 'position', 'prepnurse', 'description', 'pcp', 'date', 'nurse', 'physician', 'appointment', 'insuranceid', 'phone', 'code', 'employeeid', 'assistingnurse', 'patient', 'brand', 'treatment', 'dose', 'blockcode', 'medication', 'address']",2,0.67,0.1,0.18
Which nurses are in charge of patients undergoing treatments?,"['assistingnurse', 'name', 'employeeid']",3,"['name', 'patient', 'nurse']",1,0.33,0.33,0.34,"['physician', 'name', 'appointment', 'treatment', 'position', 'prepnurse', 'insuranceid', 'blockfloor', 'blockcode', 'pcp', 'phone', 'assistingnurse', 'nurse', 'address', 'registered', 'patient']",2,0.67,0.12,0.2,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'blockfloor', 'room', 'employeeid', 'department', 'assistingnurse', 'cost', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'blockcode', 'medication', 'address', 'appointmentid']",3,1.0,0.09,0.16
Find the physician who prescribed the highest dose. What is his or her name?,"['employeeid', 'name', 'dose']",3,"['physician', 'name', 'dose']",2,0.67,0.67,0.68,"['physician', 'name', 'brand', 'appointment', 'dose', 'position', 'medication', 'description', 'pcp', 'phone', 'date', 'code', 'address', 'patient']",2,0.67,0.14,0.24,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'appointment', 'insuranceid', 'phone', 'code', 'blockfloor', 'room', 'employeeid', 'department', 'assistingnurse', 'registered', 'patient', 'ssn', 'brand', 'treatment', 'dose', 'blockcode', 'medication', 'address']",3,1.0,0.11,0.2
Show names of musicals and the number of actors who have appeared in the musicals.,"['name', 'musical_id']",2,['name'],1,0.5,1.0,0.66,"['result', 'name', 'nominee', 'year']",1,0.5,0.25,0.34,"['result', 'name', 'musical_id', 'nominee', 'award', 'year']",2,1.0,0.33,0.5
How many cinema do we have?,[],0,"['cinema_id', 'name', 'capacity']",0,1.0,0.0,0.0,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'openning_year', 'show_times_per_day']",0,1.0,0.0,0.0,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'price', 'openning_year', 'show_times_per_day']",0,1.0,0.0,0.0
What are the themes of farm competitions sorted by year in ascending order?,"['theme', 'year']",2,"['theme', 'farm_id', 'year', 'rank']",2,1.0,0.5,0.66,"['working_horses', 'rank', 'theme', 'competition_id', 'hosts', 'farm_id', 'year']",2,1.0,0.29,0.44,"['farm_id', 'oxen', 'cows', 'sheep_and_goats', 'working_horses', 'rank', 'bulls', 'pigs', 'year', 'theme', 'competition_id', 'hosts', 'total_horses', 'total_cattle']",2,1.0,0.14,0.24
Which physicians prescribe a medication of brand X? Tell me the name and position of those physicians.,"['name', 'brand', 'employeeid', 'position', 'code']",5,"['physician', 'name', 'brand', 'position', 'medication']",3,0.6,0.6,0.6,"['physician', 'name', 'brand', 'appointment', 'position', 'medication', 'description', 'pcp', 'code', 'patient']",4,0.8,0.4,0.54,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'appointment', 'insuranceid', 'phone', 'code', 'room', 'employeeid', 'assistingnurse', 'registered', 'patient', 'ssn', 'brand', 'treatment', 'dose', 'blockcode', 'medication', 'address', 'appointmentid']",5,1.0,0.19,0.32
"What is the total horses record for each farm, sorted ascending?",['total_horses'],1,"['working_horses', 'total_horses']",1,1.0,0.5,0.66,"['farm_id', 'oxen', 'cows', 'sheep_and_goats', 'working_horses', 'rank', 'bulls', 'pigs', 'year', 'total_horses', 'total_cattle']",1,1.0,0.09,0.16,"['farm_id', 'oxen', 'cows', 'sheep_and_goats', 'working_horses', 'rank', 'bulls', 'pigs', 'year', 'total_horses', 'total_cattle']",1,1.0,0.09,0.16
"Show the average, minimum, and maximum capacity for all the cinemas opened in year 2011 or later.","['capacity', 'openning_year']",2,"['capacity', 'openning_year']",2,1.0,1.0,1.0,"['location', 'cinema_id', 'name', 'capacity', 'openning_year', 'show_times_per_day']",2,1.0,0.33,0.5,"['location', 'cinema_id', 'name', 'film_id', 'capacity', 'price', 'openning_year', 'date', 'show_times_per_day']",2,1.0,0.22,0.36
Find the name and position of physicians who prescribe some medication whose brand is X?,"['name', 'brand', 'employeeid', 'position', 'code']",5,"['physician', 'name', 'brand', 'position', 'medication']",3,0.6,0.6,0.6,"['physician', 'name', 'brand', 'appointment', 'employeeid', 'position', 'medication', 'pcp', 'code', 'patient']",5,1.0,0.5,0.66,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'appointment', 'insuranceid', 'phone', 'code', 'blockfloor', 'room', 'employeeid', 'department', 'assistingnurse', 'registered', 'patient', 'ssn', 'brand', 'treatment', 'dose', 'blockcode', 'medication', 'address', 'appointmentid']",5,1.0,0.17,0.3
What are the names of patients who are staying in room 111 and have an undergoing treatment?,"['name', 'ssn', 'room', 'stayid']",4,"['name', 'patient', 'room', 'treatment']",2,0.5,0.5,0.5,"['roomnumber', 'physician', 'name', 'examinationroom', 'room', 'treatment', 'stay', 'blockfloor', 'insuranceid', 'stayid', 'assistingnurse', 'phone', 'unavailable', 'address', 'patient', 'roomtype']",3,0.75,0.19,0.3,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'nurse', 'roomnumber', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'unavailable', 'blockfloor', 'room', 'employeeid', 'assistingnurse', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'blockcode', 'medication', 'address', 'appointmentid']",4,1.0,0.11,0.2
List the name of actors whose age is not 20.,"['name', 'age']",2,"['name', 'age']",2,1.0,1.0,1.0,"['musical_id', 'name', 'actor_id', 'age']",2,1.0,0.5,0.66,"['character', 'name', 'musical_id', 'actor_id', 'duration', '18_49_rating_share', 'age']",2,1.0,0.29,0.44
Who are the nominees who have been nominated for both a Tony Award and a Drama Desk Award?,"['nominee', 'award']",2,"['nominee', 'award']",2,1.0,1.0,1.0,"['category', 'result', 'nominee', 'award']",2,1.0,0.5,0.66,"['result', 'name', 'musical_id', 'nominee', 'award', 'category', 'year']",2,1.0,0.29,0.44
list the names of the companies with more than 200 sales in the descending order of sales and profits.,"['profits_in_billion', 'name', 'sales_in_billion']",3,['name'],1,0.33,1.0,0.5,"['sales_in_billion', 'name', 'industry']",2,0.67,0.67,0.68,"['name', 'market_value_in_billion', 'viewers_m', 'assets_in_billion', 'industry', 'headquarters', 'sales_in_billion', 'profits_in_billion', 'company_id']",3,1.0,0.33,0.5
What is the alphabetically ordered list of all distinct medications?,['name'],1,[],0,0.0,ZeroDivisionError,,"['physician', 'name', 'brand', 'appointment', 'medication', 'description', 'code', 'patient']",1,1.0,0.12,0.22,"['name', 'position', 'stayid', 'description', 'pcp', 'date', 'physician', 'appointment', 'insuranceid', 'phone', 'code', 'employeeid', 'patient', 'roomtype', 'ssn', 'brand', 'dose', 'blockcode', 'medication', 'address']",1,1.0,0.05,0.1
What is the employee id of the head whose department has the least number of employees?,"['head', 'departmentid']",2,['head'],1,0.5,1.0,0.66,"['head', 'dname', 'mgr_ssn', 'mgr_start_date', 'dnumber']",1,0.5,0.2,0.28,"['head', 'dname', 'mgr_ssn', 'mgr_start_date', 'dnumber']",1,0.5,0.2,0.28
Find the ids and names of members who are under age 30 or with black membership card.,"['membership_card', 'name', 'member_id', 'age']",4,"['name', 'age']",2,0.5,1.0,0.66,"['level_of_membership', 'name', 'membership_card', 'address', 'age']",3,0.75,0.6,0.66,"['level_of_membership', 'name', 'member_id', 'membership_card', 'address', 'age']",4,1.0,0.67,0.8
Show the official names of the cities that have hosted more than one competition.,"['city_id', 'official_name', 'host_city_id']",3,[],0,0.0,ZeroDivisionError,,"['status', 'city_id', 'official_name', 'population']",2,0.67,0.5,0.58,"['status', 'official_name', 'area_km_2', 'city_id', 'population']",2,0.67,0.4,0.5
Show the names of employees that work for companies with sales bigger than 200.,"['name', 'people_id', 'company_id', 'sales_in_billion']",4,['name'],1,0.25,1.0,0.4,['name'],1,0.25,1.0,0.4,['name'],1,0.25,1.0,0.4
What are the title and maximum price of each film?,"['film_id', 'title', 'price']",3,['title'],1,0.33,1.0,0.5,"['production_code', 'film_id', 'title', 'number_in_season', 'rank_in_series', 'directed_by']",2,0.67,0.33,0.44,"['production_code', 'film_id', 'title', 'original_air_date', 'number_in_season', 'rank_in_series', 'directed_by']",2,0.67,0.29,0.4
List all department names ordered by their starting date.,"['dname', 'mgr_start_date']",2,"['dname', 'mgr_start_date', 'name']",2,1.0,0.67,0.8,"['name', 'dname', 'mgr_ssn', 'mgr_start_date', 'dnumber']",2,1.0,0.4,0.58,"['name', 'dname', 'mgr_ssn', 'mgr_start_date', 'dnumber']",2,1.0,0.4,0.58
Count the number of actors.,[],0,[],0,1.0,ZeroDivisionError,,"['character', 'name', 'musical_id', 'actor_id', 'duration', 'viewers_m', 'age']",0,1.0,0.0,0.0,"['character', 'share', 'name', 'musical_id', 'actor_id', 'episode', 'duration', 'viewers_m', '18_49_rating_share', 'assets_in_billion', 'id', 'rating', 'age']",0,1.0,0.0,0.0
Find the names of nurses who are on call.,"['employeeid', 'name']",2,"['name', 'blockcode', 'blockfloor', 'nurse']",1,0.5,0.25,0.34,"['physician', 'name', 'ssn', 'employeeid', 'position', 'prepnurse', 'blockcode', 'assistingnurse', 'phone', 'nurse', 'address', 'registered', 'blockfloor']",2,1.0,0.15,0.26,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'pcp', 'nurse', 'roomnumber', 'physician', 'oncallstart', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'unavailable', 'blockfloor', 'room', 'employeeid', 'department', 'staystart', 'assistingnurse', 'start', 'oncallend', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'blockcode', 'medication', 'address', 'appointmentid']",2,1.0,0.06,0.12
Who are the nominees who were nominated for either of the Bob Fosse or Cleavant Derricks awards?,"['nominee', 'award']",2,['nominee'],1,0.5,1.0,0.66,"['category', 'result', 'nominee', 'award']",2,1.0,0.5,0.66,"['category', 'result', 'nominee', 'award']",2,1.0,0.5,0.66
How many actors have appeared in each musical?,"['name', 'musical_id']",2,[],0,0.0,ZeroDivisionError,,"['result', 'name', 'musical_id', 'nominee', 'award', 'year']",2,1.0,0.33,0.5,"['result', 'name', 'musical_id', 'nominee', 'award', 'year']",2,1.0,0.33,0.5
What are the official names of cities that have population over 1500 or less than 500?,"['official_name', 'population']",2,['population'],1,0.5,1.0,0.66,"['status', 'official_name', 'population']",2,1.0,0.67,0.8,"['status', 'census_ranking', 'official_name', 'area_km_2', 'city_id', 'population']",2,1.0,0.33,0.5
Count how many appointments have been made in total.,[],0,['appointment'],0,1.0,0.0,0.0,"['physician', 'examinationroom', 'appointment', 'start', 'end', 'appointmentid']",0,1.0,0.0,0.0,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'pcp', 'date', 'nurse', 'roomnumber', 'physician', 'oncallstart', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'certificationdate', 'room', 'employeeid', 'department', 'staystart', 'assistingnurse', 'start', 'oncallend', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'dateundergoes', 'blockcode', 'stayend', 'address', 'appointmentid']",0,1.0,0.0,0.0
What is the duration of the oldest actor?,"['duration', 'age']",2,"['duration', 'age']",2,1.0,1.0,1.0,"['name', 'musical_id', 'actor_id', 'duration', 'age']",2,1.0,0.4,0.58,"['character', 'name', 'musical_id', 'actor_id', 'episode', 'duration', '18_49_rating_share', 'air_date', 'age']",2,1.0,0.22,0.36
What are the average score and average staff number of all shops?,"['score', 'num_of_staff']",2,"['score', 'num_of_staff']",2,1.0,1.0,1.0,"['open_year', 'address', 'score', 'num_of_staff']",2,1.0,0.5,0.66,"['open_year', 'num_of_staff_in_charge', 'level_of_membership', 'total_amount', 'num_of_staff', 'shop_id', 'address', 'time_of_purchase', 'score']",2,1.0,0.22,0.36
What are the three most costly procedures?,"['cost', 'name']",2,['procedures'],0,0.0,0.0,ZeroDivisionError,"['cost', 'procedures', 'name']",2,1.0,0.67,0.8,"['physician', 'name', 'appointment', 'treatment', 'stay', 'procedures', 'prepnurse', 'dateundergoes', 'pcp', 'cost', 'assistingnurse', 'code', 'patient']",2,1.0,0.15,0.26
"What are the official names of cities, ordered descending by population?","['official_name', 'population']",2,"['official_name', 'population']",2,1.0,1.0,1.0,"['status', 'census_ranking', 'official_name', 'city_id', 'population']",2,1.0,0.4,0.58,"['status', 'census_ranking', 'official_name', 'area_km_2', 'city_id', 'population']",2,1.0,0.33,0.5
Return the hosts of competitions for which the theme is not Aliens?,"['theme', 'hosts']",2,"['theme', 'hosts']",2,1.0,1.0,1.0,"['theme', 'hosts', 'competition_id']",2,1.0,0.67,0.8,"['host_city_id', 'theme', 'competition_id', 'hosts', 'farm_id', 'year']",2,1.0,0.33,0.5
what is the name and position of the head whose department has least number of employees?,"['head', 'name', 'departmentid', 'employeeid', 'position']",5,"['position', 'name', 'department']",2,0.4,0.67,0.5,"['position', 'name', 'department']",2,0.4,0.67,0.5,"['roomnumber', 'physician', 'name', 'ssn', 'employeeid', 'position', 'department', 'prepnurse', 'insuranceid', 'primaryaffiliation', 'phone', 'pcp', 'assistingnurse', 'nurse', 'address', 'registered', 'patient', 'appointmentid']",3,0.6,0.17,0.26
What are the official names of cities that have hosted more than one competition?,"['city_id', 'official_name', 'host_city_id']",3,['official_name'],1,0.33,1.0,0.5,"['status', 'official_name', 'population']",1,0.33,0.33,0.34,"['status', 'official_name', 'area_km_2', 'city_id', 'population']",2,0.67,0.4,0.5
Find the name of physicians who are affiliated with both Surgery and Psychiatry departments.,"['name', 'departmentid', 'employeeid']",3,"['physician', 'name']",1,0.33,0.5,0.4,"['physician', 'name', 'ssn', 'appointment', 'employeeid', 'position', 'insuranceid', 'pcp', 'phone', 'address', 'patient']",2,0.67,0.18,0.28,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'room', 'employeeid', 'department', 'primaryaffiliation', 'cost', 'assistingnurse', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'blockcode', 'medication', 'address', 'appointmentid']",2,0.67,0.06,0.12
List the names of all distinct nurses ordered by alphabetical order?,['name'],1,"['name', 'nurse']",1,1.0,0.5,0.66,"['employeeid', 'position', 'name', 'nurse']",1,1.0,0.25,0.4,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'pcp', 'date', 'nurse', 'roomnumber', 'physician', 'examinationroom', 'appointment', 'insuranceid', 'phone', 'code', 'blockfloor', 'room', 'employeeid', 'department', 'assistingnurse', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'blockcode', 'medication', 'address', 'appointmentid']",1,1.0,0.03,0.06
Find the names of patients who are not using the medication of Procrastin-X.,"['name', 'ssn', 'code']",3,"['medication', 'name', 'patient']",1,0.33,0.33,0.34,"['physician', 'name', 'brand', 'medication', 'patient']",1,0.33,0.2,0.24,"['name', 'position', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'appointment', 'insuranceid', 'phone', 'code', 'blockfloor', 'room', 'employeeid', 'assistingnurse', 'registered', 'patient', 'ssn', 'brand', 'treatment', 'dose', 'blockcode', 'medication', 'address']",3,1.0,0.12,0.22
Find the number of distinct room types available.,['roomtype'],1,"['roomnumber', 'room', 'roomtype']",1,1.0,0.33,0.5,"['roomnumber', 'room', 'blockcode', 'unavailable', 'blockfloor', 'roomtype']",1,1.0,0.17,0.3,"['roomnumber', 'examinationroom', 'room', 'employeeid', 'patient', 'blockcode', 'roomtype', 'stayid', 'code', 'unavailable', 'blockfloor', 'appointmentid']",1,1.0,0.08,0.14
Which patient is undergoing the most recent treatment?,"['dateundergoes', 'patient']",2,"['name', 'patient', 'treatment']",1,0.5,0.33,0.4,"['physician', 'name', 'appointment', 'treatment', 'description', 'pcp', 'phone', 'address', 'patient']",1,0.5,0.11,0.18,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'blockfloor', 'room', 'employeeid', 'assistingnurse', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'blockcode', 'medication', 'address']",2,1.0,0.06,0.12
Find the number of medications prescribed for each brand.,"['name', 'code', 'brand']",3,"['medication', 'brand']",1,0.33,0.5,0.4,"['physician', 'name', 'brand', 'appointment', 'dose', 'medication', 'description', 'date', 'code', 'patient']",3,1.0,0.3,0.46,"['name', 'position', 'stayid', 'description', 'pcp', 'date', 'physician', 'appointment', 'insuranceid', 'phone', 'code', 'employeeid', 'registered', 'patient', 'ssn', 'brand', 'dose', 'blockcode', 'medication', 'address']",3,1.0,0.15,0.26
Find the names of all patients who have an undergoing treatment and are staying in room 111.,"['name', 'ssn', 'room', 'stayid']",4,"['name', 'patient', 'room', 'treatment']",2,0.5,0.5,0.5,"['roomnumber', 'physician', 'name', 'examinationroom', 'room', 'treatment', 'stay', 'blockfloor', 'insuranceid', 'blockcode', 'stayid', 'pcp', 'phone', 'address', 'patient', 'roomtype']",3,0.75,0.19,0.3,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'roomnumber', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'unavailable', 'blockfloor', 'room', 'employeeid', 'department', 'staystart', 'assistingnurse', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'blockcode', 'medication', 'address', 'appointmentid']",4,1.0,0.11,0.2
What are the names of musicals who have no actors?,"['name', 'musical_id']",2,['name'],1,0.5,1.0,0.66,"['result', 'name', 'nominee', 'year']",1,0.5,0.25,0.34,"['result', 'name', 'musical_id', 'nominee', 'award', 'year']",2,1.0,0.33,0.5
Find the official names of cities with population bigger than 1500 or smaller than 500.,"['official_name', 'population']",2,['population'],1,0.5,1.0,0.66,"['status', 'official_name', 'population']",2,1.0,0.67,0.8,"['status', 'census_ranking', 'official_name', 'area_km_2', 'city_id', 'population']",2,1.0,0.33,0.5
What are the names of actors who are not 20 years old?,"['name', 'age']",2,"['name', 'age']",2,1.0,1.0,1.0,"['musical_id', 'name', 'actor_id', 'age']",2,1.0,0.5,0.66,"['character', 'name', 'musical_id', 'actor_id', 'duration', '18_49_rating_share', 'age']",2,1.0,0.29,0.44
What are the names of all the physicians who took appointments.,"['employeeid', 'name']",2,"['pcp', 'physician', 'name']",1,0.5,0.33,0.4,"['end', 'physician', 'name', 'examinationroom', 'appointment', 'employeeid', 'position', 'pcp', 'phone', 'start', 'address', 'patient', 'appointmentid']",2,1.0,0.15,0.26,"['name', 'position', 'procedures', 'prepnurse', 'stayid', 'description', 'pcp', 'date', 'nurse', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'code', 'blockfloor', 'room', 'employeeid', 'department', 'assistingnurse', 'cost', 'start', 'end', 'registered', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'blockcode', 'medication', 'address', 'appointmentid']",2,1.0,0.06,0.12
What is the most common status across all cities?,['status'],1,['status'],1,1.0,1.0,1.0,"['status', 'city_id', 'official_name', 'population']",1,1.0,0.25,0.4,"['status', 'census_ranking', 'official_name', 'area_km_2', 'city_id', 'population']",1,1.0,0.17,0.3
Return the names of musicals who have the nominee Bob Fosse.,"['name', 'nominee']",2,"['name', 'nominee']",2,1.0,1.0,1.0,"['result', 'name', 'nominee', 'award', 'year']",2,1.0,0.4,0.58,"['result', 'name', 'musical_id', 'nominee', 'award', 'category', 'year']",2,1.0,0.29,0.44
Show names of actors that have appeared in musical with name 'The Phantom of the Opera'.,"['name', 'musical_id']",2,['name'],1,0.5,1.0,0.66,"['name', 'nominee']",1,0.5,0.5,0.5,"['result', 'name', 'musical_id', 'nominee', 'award', 'year']",2,1.0,0.33,0.5
Find the address and staff number of the shops that do not have any happy hour.,"['shop_id', 'address', 'num_of_staff']",3,"['shop_id', 'address']",2,0.67,1.0,0.8,"['open_year', 'num_of_staff', 'shop_id', 'month', 'hh_id', 'address', 'num_of_staff_in_charge']",3,1.0,0.43,0.6,"['open_year', 'num_of_staff_in_charge', 'total_amount', 'member_id', 'num_of_staff', 'shop_id', 'month', 'hh_id', 'address', 'time_of_purchase', 'score']",3,1.0,0.27,0.42
"Among the procedures that cost more than 1000, which were not specialized in by physician John Wen?","['name', 'treatment', 'employeeid', 'cost', 'code']",5,"['cost', 'physician']",1,0.2,0.5,0.28,"['physician', 'name', 'treatment', 'pcp', 'cost']",3,0.6,0.6,0.6,"['name', 'position', 'procedures', 'prepnurse', 'description', 'pcp', 'date', 'physician', 'examinationroom', 'appointment', 'stay', 'insuranceid', 'phone', 'employeeid', 'assistingnurse', 'cost', 'patient', 'roomtype', 'ssn', 'brand', 'treatment', 'dose', 'dateundergoes', 'medication', 'address']",4,0.8,0.16,0.26
